Top 100 - Current Balance - Block 2146787
Address	Balance (CRUR)	%
68	616YdVUqLCaVn18s7EiZU3Ydo8ZWhCkX5W	8224999.99000000	0.15
69	5xX6f6h6HFdUDJ1FW2eh12jxx1JVxMAXJQ	8044923.50026272	0.15
70	5xsHwFgv9jb5Gz2rBvHwGnJVvbiopMhGns	7524361.26744511	0.14
71	6ADw6fU2esraXb8NiDi93soGyeoJJQCX5o	6678124.74049901	0.12
72	629do7rQdRaQXTnJaQDK6EGbwdTymkfMmL	6357773.69642112	0.12
73	68V3f4EPjMmbNEERts71nvS6KWVnkjghgH	5542707.08075168	0.10
74	5rMPCwaZwLvnQ92gYXZ3rg3DmNrvopfTbs	5240508.97203593	0.10
75	5uZivsegFigGTRujHFnzBoWNaPjJzCTEG3	5018016.18321941	0.09
76	62vSUsLcpvdmYnL6T8XwTj7A32TG8NW2of	5008546.27637462	0.09
77	65G1NG9mMeZ7uGJwHNbrv2VVBXqTS3oVLD	4999999.99000000	0.09
78	5xMJZ7Z7umkvxaLPLbeLsWyUSEKDmvtRWE	4990019.95007984	0.09
79	63TBmhLM7EZGzTLQNC4aAyAgYpXbatTGuG	4990019.95007984	0.09
80	64oSSzGGK11zNgH8611fjGPQjM6Q6Rsw9V	4917816.58343743	0.09
81	6CCJzxGRcskJ5p4Cz2eRgYZ5bns5edRvtb	4914569.85027944	0.09
82	6D23GQdaPcL5AH8jcEePUQjjTjqYnGEvBJ	4744658.67263473	0.09
83	66jrNP6cExLJ2EJLxWX2Ypy7TqsKr4Uh1U	4654862.26544910	0.09
84	6AhNBKDXCgMkV3dkGa8Gnwgz8SS347yRGt	4589828.46524689	0.08
85	6339hywvW2RVG5PQ6Wh5BNFBiv3Kqfygcd	4585295.39518962	0.08
86	65FjcG9ZwMUPqzj3AEPNbTGPWQzyKpqdyZ	4422720.07462138	0.08
87	6Ba22ZPoZpbkRE33J73qTrJHmz3rvSZmmv	4058305.09581728	0.07
88	6DjNhu1aPB5rMXD8RDfCPGUyw9RRcMrv1y	4054467.73942940	0.07
89	64fi3Xp91RVuqM2YKVbT52juvQegLtJbBz	3908714.56085828	0.07
90	6ApUvTToZMrRjxbkQdgCeYG5dkm1rYXymF	3692613.99000000	0.07
91	5u6pjXE7C5q3iShVuJ5Sj1xzW1teqWpTPW	3268038.52850502	0.06
92	5tEtC9PzqgPGH5e4ZJbeC62yTCxRa6R3pd	3186873.72439503	0.06
93	69WAmQhWegECEqVYZkZ6NNiEi5cptVkgP5	3127852.75697072	0.06
94	6ABRMhiJpBAUCEfW3NQiWDKwa36DWMGQYZ	3107742.74900000	0.06
95	6CnsoBvV5wfhzYfLa8cQmGc9MCiown6yfz	3000000.83457751	0.06
96	6DTwbFCGGscgfedw3agVTH2YisRJEpke4H	2965319.99000000	0.05
97	5zwYaiHmuRtKodP8juL3xTt5VWZfTy5x4S	2831840.30936127	0.05
98	6CCsjntGpsJqJcn65Ce1Wtcrdy6KwEMbQ9	2661464.67609196	0.05
99	5trJDqdGj12RmAHMo9ztZEhmmgZ68bb4x6	2635168.15367265	0.05
100	5qMnpMLHi8GEGrc9geiqiyG1DmL1rfvACj	2582981.88225535	0.05
